MiR-185	NN	MiR-185 O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Importantly	RB	important O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
downregulation	NN	downregulation O TermTag
of	IN	of O TermTag
miR-29a	NN	miR-29a GENE TermTag
inversely	RB	inverse O TermTag
correlated	VBD	correlate O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
significantly	RB	significant O TermTag
increased	VBN	increase O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
COL1A1	NN	COL1A1 GENE TermTag
mRNA	NN	mRNA O TermTag
in	IN	in O TermTag
IPF	NNP	IPF O TermTag
BAL	NN	bal O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Collagen	NNP	collagen O TermTag
1	CD	1 crd NUPOS
a	DT	a dt NUPOS
was	VBD	be O TermTag
found	VBN	find O TermTag
mainly	RB	main O TermTag
overexpressed	VBN	overexpress O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
and	CC	and O TermTag
not	RB	not O TermTag
other	JJ	other O TermTag
cell	NN	cell O TermTag
types	NNS	type O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
BAL	NN	bal O TermTag
by	IN	by O TermTag
immunofluorescence	NN	immunofluorescence O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
view	NN	view O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
downregulation	NN	downregulation O TermTag
of	IN	of O TermTag
miR-185	NN	miR-185 O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
tested	VBD	test O TermTag
the	DT	the O TermTag
response	NN	response O TermTag
of	IN	of O TermTag
THP-1	NN	THP-1 O TermTag
macrophages	NNS	macrophage O TermTag
to	TO	to O TermTag
profibrotic	JJ	profibrotic O TermTag
cytokine	NN	cytokine O TermTag
TGFb	NN	Tgfb GENE TermTag
and	CC	and O TermTag
observed	VBD	observe O TermTag
the	DT	the O TermTag
downregulation	NN	downregulation O TermTag
of	IN	of O TermTag
miR-185	NN	miR-185 O TermTag
.	.	. . NUPOS

Conversely	RB	converse O TermTag
,	,	, , NUPOS
proinflammatory	JJ	proinflammatory O TermTag
stimulation	NN	stimulation O TermTag
lead	NN	lead O TermTag
to	TO	to O TermTag
miR-185	NN	miR-185 O TermTag
upregulation	NN	upregulation O TermTag
.	.	. . NUPOS

Upon	IN	upon O TermTag
examination	NN	examination O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
known	JJ	known O TermTag
miR-185	NN	miR-185 O TermTag
targets	NNS	target O TermTag
AKT1	NN	AKT1 O TermTag
,	,	, , NUPOS
DNMT1	NN	DNMT1 O TermTag
and	CC	and O TermTag
HMGA2	NN	HMGA2 GENE TermTag
,	,	, , NUPOS
no	DT	no O TermTag
significant	JJ	significant O TermTag
correlations	NNS	correlation O TermTag
were	VBD	be O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
BAL	NN	bal O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
increased	VBN	increase O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
total	JJ	total O TermTag
AKT	NNP	akt GENE TermTag
and	CC	and O TermTag
AKTser473	NN	AKTser473 O TermTag
phosphorylation	NN	phosphorylation O TermTag
were	VBD	be O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
IPF	NNP	IPF O TermTag
BAL	NN	bal O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
miR-185	NN	miR-185 O TermTag
inhibition	NN	inhibition O TermTag
in	IN	in O TermTag
THP-1	NN	THP-1 O TermTag
macrophages	NNS	macrophage O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
significant	JJ	significant O TermTag
increase	NN	increase O TermTag
of	IN	of O TermTag
AKTser473	NN	AKTser473 O TermTag
phosphorylation	NN	phosphorylation O TermTag
.	.	. . NUPOS

Our	PRP$	our O TermTag
study	NN	study O TermTag
highlights	VBZ	highlight O TermTag
the	DT	the O TermTag
importance	NN	importance O TermTag
of	IN	of O TermTag
BAL	NN	bal O TermTag
microRNA	NN	microRNA O TermTag
signatures	NNS	signature O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
identifies	VBZ	identify O TermTag
significant	JJ	significant O TermTag
differences	NNS	difference O TermTag
in	IN	in O TermTag
miR-185	NN	miR-185 O TermTag
/	:	/ : NUPOS
AKT	NN	akt GENE TermTag
and	CC	and O TermTag
miR-29a	NN	miR-29a GENE TermTag
/	:	/ : NUPOS
collagen	NN	collagen O TermTag
axes	NNS	axis O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
BAL	NN	bal O TermTag
cells	NNS	cell O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

